ts,height,velocity,acceleration
191.04,1010.8399047851562,-10.81355094909668,0.0
191.05,1010.6986694335938,-10.847804069519043,0.0
191.06,1010.5486450195312,-10.890813827514648,0.0
191.07,1010.3974609375,-10.934554100036621,0.0
191.08,1010.2469482421875,-10.977095603942871,0.0
191.09,1010.0991821289062,-11.016440391540527,0.0
191.1,1009.9502563476562,-11.05656623840332,0.0
191.11,1009.803955078125,-11.093526840209961,0.0
191.12,1009.6621704101562,-11.125419616699219,0.0
191.13,1009.5230102539062,-11.154301643371582,0.0
191.14,1009.3863525390625,-11.180228233337402,0.0
191.15,1009.254150390625,-11.2012939453125,0.0
191.16,1009.1226196289062,-11.221514701843262,0.0
191.17,1008.9973754882812,-11.234968185424805,0.0
191.18,1008.8745727539062,-11.245765686035156,0.0
191.19,1008.769287109375,-11.23828411102295,0.0
191.2,1008.67578125,-11.21877384185791,0.0
191.21,1008.5938720703125,-11.187434196472168,0.0
191.22,1008.5328979492188,-11.13476848602295,0.0
191.23,1008.4793701171875,-11.074942588806152,0.0
191.24,1008.4332275390625,-11.008061408996582,0.0
191.25,1008.3944091796875,-10.934337615966797,0.0
191.26,1008.3609008789062,-10.855889320373535,0.0
191.27,1008.3287963867188,-10.77674674987793,0.0
191.28,1008.2981567382812,-10.696940422058105,0.0
191.29,1008.2689208984375,-10.616501808166504,0.0
191.3,1008.2410888671875,-10.535462379455566,0.0
191.31,1008.2108154296875,-10.457768440246582,0.0
191.32,1008.17626953125,-10.38532829284668,0.0
191.33,1008.1297607421875,-10.325943946838379,0.0
191.34,1008.0848388671875,-10.265586853027344,0.0
191.35,1008.0357666015625,-10.210169792175293,0.0
191.36,1007.9882202148438,-10.153724670410156,0.0
191.37,1007.9421997070312,-10.096283912658691,0.0
191.38,1007.8995971679688,-10.035920143127441,0.0
191.39,1007.8584594726562,-9.974666595458984,0.0
191.4,1007.8150024414062,-9.916476249694824,0.0
191.41,1007.7634887695312,-9.86717414855957,0.0
191.42,1007.7135009765625,-9.816790580749512,0.0
191.43,1007.6517333984375,-9.779132843017578,0.0
191.44,1007.5365600585938,-9.797112464904785,0.0
191.45,1007.4197998046875,-9.816566467285156,0.0
