ts,Ax,Ay,Az,Gx,Gy,Gz,T,P,velocity,q0_estimated,q1_estimated,q2_estimated,q3_estimated,filtered_altitude_AGL,filtered_acceleration
-0.755,0.0347,-0.5122,0.043,0.1401,0.7003,0.2801,,,,,,,,,
-0.75,,,,,,,,,-0.047,4.385,7.55,-4.874,-0.032,-0.02,-0.028
-0.745,0.0356,-0.5117,0.043,0.1401,0.6303,0.2801,31.4,100104.0,,,,,,,
-0.74,,,,,,,,,-0.047,4.386,7.55,-4.874,-0.032,-0.02,-0.028
-0.735,0.0347,-0.5122,0.0449,0.1401,0.6303,0.3501,31.4,100094.0,,,,,,,
-0.73,,,,,,,,,-0.049,4.386,7.549,-4.874,-0.032,-0.11,-0.028
-0.725,0.0347,-0.5127,0.0449,0.07,0.6303,0.2801,31.4,100072.0,,,,,,,
-0.72,,,,,,,,,-0.051,4.386,7.549,-4.874,-0.032,-0.1,-0.019
-0.715,0.0347,-0.5107,0.0444,0.07,0.5602,0.2801,31.4,100081.0,,,,,,,
-0.71,,,,,,,,,-0.053,4.387,7.549,-4.874,-0.032,-0.1,-0.019
-0.705,0.0347,-0.5112,0.0454,0.07,0.5602,0.2801,31.4,100062.0,,,,,,,
-0.7,,,,,,,,,-0.055,4.387,7.549,-4.873,-0.032,-0.1,-0.019
-0.695,0.0332,-0.5112,0.0449,0.0,0.5602,0.2801,31.4,100112.0,,,,,,,
-0.69,,,,,,,,,-0.048,4.388,7.548,-4.873,-0.032,0.31,-0.028
-0.685,0.0337,-0.5132,0.043,0.07,0.6303,0.2801,31.4,100077.0,,,,,,,
-0.68,,,,,,,,,-0.042,4.388,7.548,-4.873,-0.032,0.31,-0.028
-0.675,0.0352,-0.5112,0.0435,0.0,0.7703,0.2801,31.3,100098.0,,,,,,,
-0.67,,,,,,,,,-0.035,4.389,7.548,-4.873,-0.032,0.31,-0.019
-0.665,0.0332,-0.5127,0.043,0.1401,0.7703,0.2801,31.4,100091.0,,,,,,,
-0.66,,,,,,,,,-0.037,4.39,7.548,-4.873,-0.032,-0.1,-0.019
-0.655,0.0342,-0.5127,0.043,0.07,0.7703,0.2801,31.4,100093.0,,,,,,,
-0.65,,,,,,,,,-0.034,4.39,7.547,-4.873,-0.032,0.14,-0.019
-0.645,0.0332,-0.5127,0.0444,0.0,0.7703,0.2801,31.4,100103.0,,,,,,,
-0.64,,,,,,,,,-0.031,4.391,7.547,-4.873,-0.032,0.14,-0.009
-0.635,0.0342,-0.5117,0.0435,0.07,0.7003,0.2801,31.3,100059.0,,,,,,,
-0.63,,,,,,,,,-0.028,4.391,7.547,-4.872,-0.032,0.14,0.0
-0.625,0.0352,-0.5112,0.0444,0.1401,0.7003,0.2801,31.4,100085.0,,,,,,,
-0.62,,,,,,,,,-0.026,4.392,7.547,-4.872,-0.032,0.14,-0.019
-0.615,0.0347,-0.5122,0.0444,0.1401,0.6303,0.2801,31.4,100120.0,,,,,,,
-0.61,,,,,,,,,-0.023,4.392,7.547,-4.872,-0.032,0.14,-0.019
-0.605,0.0347,-0.5112,0.0435,0.07,0.6303,0.2101,31.4,100096.0,,,,,,,
-0.6,,,,,,,,,-0.024,4.393,7.546,-4.872,-0.032,-0.03,-0.009
-0.595,0.0361,-0.5117,0.0454,0.07,0.7003,0.2101,31.4,100104.0,,,,,,,
