ts,height,velocity,acceleration
-0.75,-0.1222626343369484,-0.015360075980424881,0.0042699165642261505
-0.74,-0.13200579583644867,-0.02523835003376007,0.004115432500839233
-0.73,-0.13970519602298737,-0.03290162608027458,0.003995463252067566
-0.72,-0.14732199907302856,-0.040401358157396317,0.0038780607283115387
-0.71,-0.153251513838768,-0.0460791178047657,0.0037890449166297913
-0.7,-0.16071997582912445,-0.05329112708568573,0.0036761537194252014
-0.69,-0.17845937609672546,-0.07105529308319092,0.0033989660441875458
-0.68,-0.20439782738685608,-0.09712066501379013,0.0029925592243671417
-0.67,-0.22167164087295532,-0.11386159062385559,0.012272391468286514
-0.66,-0.23336924612522125,-0.12466315925121307,0.012102283537387848
-0.65,-0.25031954050064087,-0.14078879356384277,0.0118492990732193
-0.64,-0.2670811414718628,-0.15664984285831451,0.002059493213891983
-0.63,-0.278268426656723,-0.1665824055671692,0.0019045062363147736
-0.62,-0.28932392597198486,-0.17627739906311035,0.001753244549036026
-0.61,-0.29331472516059875,-0.17856495082378387,0.0017173513770103455
-0.6,-0.29724618792533875,-0.18076781928539276,0.001682780683040619
-0.59,-0.2959679067134857,-0.1776534616947174,-0.007809966802597046
-0.58,-0.2946853041648865,-0.1745663583278656,-0.007760681211948395
-0.57,-0.29339873790740967,-0.1715065985918045,-0.007711827754974365
-0.56,-0.29210853576660156,-0.1684742420911789,-0.007663410156965256
-0.55,-0.2908150553703308,-0.16546937823295593,-0.007615428417921066
-0.54,-0.2895186245441437,-0.1624920815229416,-0.007567882537841797
-0.53,-0.2882195711135864,-0.15954239666461945,-0.0075207725167274475
-0.52,-0.2869187295436859,-0.15671582520008087,-0.01701752096414566
-0.51,-0.2856158912181854,-0.15372610092163086,0.002114593982696533
-0.5,-0.2739561200141907,-0.14005222916603088,0.0023271888494491577
-0.49,-0.2589346468448639,-0.12303990870714188,0.0025917328894138336
-0.48,-0.24405412375926971,-0.10634677857160568,0.0028512664139270782
-0.47,-0.22426679730415344,-0.08474749326705933,0.0031871572136878967
-0.46,-0.20972111821174622,-0.06879100203514099,0.0034351274371147156
-0.45,-0.19026900827884674,-0.04792121797800064,0.003759566694498062
-0.44,-0.1710107922554016,-0.0274647306650877,0.0040775202214717865
-0.43,-0.16745030879974365,-0.023456595838069916,0.00413929671049118
-0.42,-0.1639234870672226,-0.01952412538230419,0.004199884831905365
-0.41,-0.1810310333967209,-0.03697875142097473,0.003927435725927353
-0.4,-0.19795922935009003,-0.05406995862722397,0.003660690039396286
-0.39,-0.1973743736743927,-0.05286911129951477,0.0036788173019886017
-0.38,-0.21412353217601776,-0.06961318850517273,0.0034175142645835876
-0.37,-0.2236398607492447,-0.07870399951934814,0.0032754242420196533
-0.36,-0.23305034637451172,-0.08759269118309021,0.00313650444149971
-0.35,-0.2545689344406128,-0.10891708731651306,0.002803962677717209
-0.34,-0.26364201307296753,-0.11714882403612137,0.0026753470301628113
-0.33,-0.2707754969596863,-0.12329007685184479,0.002579301595687866
-0.32,-0.272718608379364,-0.12399914115667343,0.002567857503890991
-0.31,-0.2746288776397705,-0.12466700375080109,0.00255705788731575
-0.3,-0.27650701999664307,-0.12538976967334747,-0.00699557363986969
-0.29,-0.2732446789741516,-0.1207871288061142,-0.00692281499505043
-0.28,-0.26491039991378784,-0.11098429560661316,-0.006769090890884399
-0.27,-0.25665029883384705,-0.10126315802335739,0.002924315631389618
-0.26,-0.24846458435058594,-0.09181299060583115,-0.0064699649810791016
-0.25,-0.24035395681858063,-0.08253676444292068,-0.006324511021375656
-0.24,-0.23231807351112366,-0.07333746552467346,0.003360699862241745
-0.23,-0.22776663303375244,-0.0678366869688034,0.0034458301961421967
-0.22,-0.22479255497455597,-0.06402382254600525,0.003504667431116104
-0.21,-0.22184109687805176,-0.06008334457874298,0.022648394107818604
-0.2,-0.21891148388385773,-0.05620565637946129,0.02270524948835373
-0.19,-0.21945808827877045,-0.05596378445625305,0.022705480456352234
-0.18,-0.21998973190784454,-0.05542413890361786,0.05133328586816788
-0.17,-0.2205047309398651,-0.05477791652083397,0.06087728962302208
-0.16,-0.220969095826149,-0.054085999727249146,0.060878586024045944
-0.15,-0.22142989933490753,-0.049125488847494125,0.49030470848083496
-0.14,-0.22183173894882202,-0.0439654216170311,0.5093916654586792
-0.13,-0.22378431260585785,-0.03600110113620758,0.957878589630127
-0.12,-0.22561655938625336,-0.02752026356756687,1.005568265914917
-0.11,-0.22724968194961548,-0.0029724426567554474,2.608734607696533
-0.1,-0.22848039865493774,0.04784446209669113,5.2329816818237305
-0.09,-0.22904840111732483,0.12720640003681183,8.08625602722168
-0.08,-0.211540088057518,0.2634657025337219,12.008599281311035
-0.07,-0.21689340472221375,0.41283032298088074,15.84466552734375
-0.06,-0.19652126729488373,0.6130843758583069,18.4405517578125
