ts,height,velocity,acceleration
-0.76,0.01779453456401825,0.06104503571987152,-0.0020126309245824814
-0.75,0.010446485131978989,0.05279165506362915,-0.002140834927558899
-0.74,0.003168066032230854,0.04469441622495651,-0.0022665876895189285
-0.73,-0.005624756217002869,0.03511298820376396,-0.0024154316633939743
-0.72,-0.01433137059211731,0.025718390941619873,-0.0025613438338041306
-0.71,-0.02295171096920967,0.016508782282471657,-0.0027043521404266357
-0.7,-0.03148573264479637,0.007482326589524746,-0.0028444863855838776
-0.69,-0.03993340954184532,-0.0013628141023218632,-0.002981775440275669
-0.68,-0.04482428729534149,-0.00643817288801074,-0.003060341812670231
-0.67,-0.04966472089290619,-0.011409622617065907,-0.0031372783705592155
-0.66,-0.05444284528493881,-0.016168830916285515,0.006549392826855183
-0.65,-0.059160053730010986,-0.020816529169678688,0.0064760008826851845
-0.64,-0.06382618844509125,-0.025364037603139877,0.006404181011021137
-0.63,-0.06844130903482437,-0.029812440276145935,0.006333915516734123
-0.62,-0.05927308276295662,-0.019956130534410477,0.006486406549811363
-0.61,-0.050196051597595215,-0.010294623672962189,0.006635840982198715
-0.6,-0.04474351927638054,-0.004481262527406216,0.006725330837070942
-0.59,-0.03581244498491287,0.0048715281300246716,0.006869920529425144
-0.58,-0.026972653344273567,0.014034567400813103,0.007011532783508301
-0.57,-0.021756907925009727,0.019452102482318878,0.01685318350791931
-0.56,-0.01659490540623665,0.024758806452155113,0.016933191567659378
-0.55,-0.011487588286399841,0.02976062521338463,-0.0025102319195866585
-0.54,-0.006435866001993418,0.03465396165847778,-0.0024336446076631546
-0.53,-0.001439661718904972,0.039440006017684937,-0.002358740195631981
-0.52,0.0034634547773748636,0.04408097639679909,-0.0022861063480377197
-0.51,0.008311623707413673,0.04861781373620033,-0.0022151051089167595
-0.5,0.013104950077831745,0.05305168032646179,-0.002145717851817608
-0.49,0.017843548208475113,0.05738375335931778,-0.002077926881611347
-0.48,0.0225275419652462,0.06161519140005112,-0.002011713571846485
-0.47,0.02715706266462803,0.06574715673923492,-0.0019470592960715294
-0.46,0.03173225373029709,0.06978081166744232,-0.0018839463591575623
-0.45,0.03625326231122017,0.07371731847524643,-0.0018223561346530914
-0.44,0.04066915810108185,0.077504962682724,-0.0017630932852625847
-0.43,0.045031722635030746,0.08119884133338928,-0.0017052991315722466
-0.42,0.037361450493335724,0.07260086387395859,0.01767975650727749
-0.41,0.028018806129693985,0.06236035376787186,0.017517544329166412
-0.4,0.018767178058624268,0.05231832340359688,0.01735844649374485
-0.39,0.011350908316671848,0.04408314451575279,-0.0022911643609404564
-0.38,0.004005844239145517,0.03600555658340454,-0.002416587434709072
-0.37,-0.003267928957939148,0.028084037825465202,-0.002539561130106449
-0.36,-0.008705119602382183,0.022143259644508362,-0.0026316726580262184
-0.35,-0.0038032601587474346,0.027153361588716507,0.01696542650461197
-0.34,-0.005820167250931263,0.0249546617269516,0.016928546130657196
-0.33,-0.00781826488673687,0.0226035937666893,-0.002629372291266918
-0.32,-0.0029310137033462524,0.027399634942412376,-0.0025542816147208214
-0.31,0.0019026552326977253,0.03199427202343941,-0.012241675518453121
-0.3,0.00668234471231699,0.03648626059293747,-0.012169822119176388
-0.29,0.004540693946182728,0.03377211093902588,-0.012210190296173096
-0.28,0.009284253232181072,0.038305751979351044,-0.0023783566430211067
-0.27,0.01397794857621193,0.043324247002601624,0.05625808611512184
-0.26,0.01862766221165657,0.04834311455488205,0.06608681380748749
-0.25,0.024892399087548256,0.054107580333948135,-0.02167060598731041
-0.24,0.031085308641195297,0.05973903089761734,-0.021579541265964508
-0.23,0.03554117679595947,0.06351608783006668,-0.02151736617088318
