ts,latitude,longitude,satellites
-0.73,39.389923095703125,-8.289725303649902,12
-0.33,39.389923095703125,-8.289726257324219,12
-0.23,39.389923095703125,-8.289726257324219,12
-0.13,39.389923095703125,-8.289726257324219,12
0.07,39.389923095703125,-8.289727210998535,12
0.27,39.389923095703125,-8.289728164672852,12
0.67,39.38991928100586,-8.289743423461914,12
0.87,39.389915466308594,-8.289756774902344,12
1.07,39.38991165161133,-8.289770126342773,12
1.27,39.38990783691406,-8.289786338806152,12
1.67,39.389896392822266,-8.28981876373291,12
1.77,39.389896392822266,-8.28981876373291,12
1.87,39.389892578125,-8.289835929870605,12
2.07,39.389888763427734,-8.289851188659668,12
2.27,39.38988494873047,-8.289871215820312,12
2.67,39.38987731933594,-8.289921760559082,12
2.87,39.38987350463867,-8.289944648742676,12
3.07,39.38987350463867,-8.289966583251953,12
3.27,39.38986587524414,-8.289996147155762,12
3.67,39.38986587524414,-8.29002571105957,12
3.87,39.38985824584961,-8.290077209472656,12
4.07,39.389862060546875,-8.290098190307617,12
4.27,39.389854431152344,-8.290125846862793,10
4.67,39.38984298706055,-8.290159225463867,10
4.87,39.389827728271484,-8.29022216796875,10
5.07,39.38982391357422,-8.290251731872559,10
5.17,39.38982391357422,-8.290251731872559,10
5.27,39.38982009887695,-8.290278434753418,10
5.47,39.38982009887695,-8.290278434753418,10
5.77,39.38982009887695,-8.290278434753418,0
6.27,39.389801025390625,-8.290510177612305,0
6.47,39.389801025390625,-8.290510177612305,5
6.67,39.39006423950195,-8.29052448272705,0
6.87,39.39014434814453,-8.29053783416748,6
7.07,39.39017868041992,-8.290563583374023,4
7.27,39.39021682739258,-8.29058837890625,4
7.57,39.39025115966797,-8.290595054626465,4
8.27,39.39035415649414,-8.290767669677734,4
8.67,39.390380859375,-8.29081916809082,4
9.07,39.39045333862305,-8.290936470031738,4
9.27,39.3904914855957,-8.29098129272461,3
9.47,39.3904914855957,-8.29098129272461,3
9.77,39.3904914855957,-8.29098129272461,4
10.67,39.39091110229492,-8.29131031036377,8
10.87,39.390953063964844,-8.29133415222168,4
11.07,39.39097595214844,-8.291352272033691,4
11.27,39.39098358154297,-8.291302680969238,5
11.47,39.39098358154297,-8.291302680969238,8
11.77,39.39098358154297,-8.291302680969238,0
21.67,39.388702392578125,-8.286437034606934,0
21.77,39.388694763183594,-8.286412239074707,0
21.87,39.388694763183594,-8.286376953125,0
22.07,39.388694763183594,-8.286338806152344,0
22.27,39.38868713378906,-8.286306381225586,0
22.67,39.388675689697266,-8.28624439239502,0
22.87,39.388668060302734,-8.286214828491211,0
23.07,39.3886604309082,-8.286184310913086,0
23.27,39.38865280151367,-8.286154747009277,0
23.67,39.38863754272461,-8.28609848022461,0
23.77,39.38863754272461,-8.28609848022461,0
23.87,39.388633728027344,-8.286069869995117,0
24.17,39.38862991333008,-8.286040306091309,0
24.27,39.38862609863281,-8.286009788513184,0
24.67,39.38862228393555,-8.285947799682617,0
24.87,39.38861846923828,-8.285920143127441,0
25.07,39.38861846923828,-8.28589153289795,0
25.27,39.38862228393555,-8.285865783691406,0
25.77,39.38859558105469,-8.285789489746094,0
25.87,39.388587951660156,-8.285758972167969,0
26.17,39.388580322265625,-8.285722732543945,0
27.07,39.38852310180664,-8.285482406616211,0
27.27,39.38851547241211,-8.285432815551758,12
27.47,39.38850021362305,-8.285401344299316,12
27.67,39.38849639892578,-8.285359382629395,12
27.77,39.38849639892578,-8.285359382629395,12
27.87,39.388492584228516,-8.285317420959473,12
28.17,39.38848876953125,-8.285283088684082,12
28.27,39.38848114013672,-8.28524398803711,12
28.67,39.38848114013672,-8.28516674041748,12
28.87,39.38850021362305,-8.285136222839355,12
29.07,39.38851547241211,-8.285103797912598,12
29.27,39.38853073120117,-8.28506851196289,12
29.67,39.38856506347656,-8.28501033782959,12
29.77,39.38856506347656,-8.28501033782959,12
29.87,39.388587951660156,-8.284976959228516,12
30.07,39.38860321044922,-8.28493881225586,12
30.27,39.38861083984375,-8.284896850585938,12
30.67,39.388648986816406,-8.28482723236084,12
30.87,39.38866424560547,-8.284795761108398,12
31.07,39.3886833190918,-8.284771919250488,12
31.27,39.388702392578125,-8.284750938415527,12
31.67,39.38874053955078,-8.284709930419922,12
31.77,39.38874053955078,-8.284709930419922,12
31.87,39.38876724243164,-8.284686088562012,12
32.07,39.388790130615234,-8.284668922424316,12
32.27,39.38881301879883,-8.284648895263672,12
32.67,39.38886260986328,-8.284614562988281,12
32.87,39.388885498046875,-8.28459358215332,12
33.07,39.388912200927734,-8.284568786621094,12
33.27,39.38893508911133,-8.284544944763184,12
33.67,39.38898468017578,-8.284497261047363,12
33.77,39.38898468017578,-8.284497261047363,12
33.87,39.38901138305664,-8.284472465515137,12
34.07,39.3890380859375,-8.284448623657227,12
34.27,39.389060974121094,-8.28442668914795,12
34.67,39.38911437988281,-8.284387588500977,12
34.87,39.389137268066406,-8.284370422363281,12
35.07,39.38916015625,-8.284356117248535,12
35.27,39.389183044433594,-8.284337043762207,12
35.67,39.38923263549805,-8.284306526184082,12
35.87,39.38925552368164,-8.28429126739502,12
36.07,39.389278411865234,-8.284280776977539,12
36.27,39.38929748535156,-8.284268379211426,12
36.67,39.38933563232422,-8.284249305725098,12
36.87,39.38935470581055,-8.284241676330566,12
37.07,39.389373779296875,-8.284234046936035,12
37.27,39.38939666748047,-8.284226417541504,12
37.47,39.38939666748047,-8.284226417541504,12
37.67,39.389442443847656,-8.284202575683594,12
37.87,39.389469146728516,-8.284191131591797,12
38.07,39.38949203491211,-8.284177780151367,12
38.27,39.3895149230957,-8.28416633605957,12
38.67,39.389564514160156,-8.28414249420166,12
38.87,39.389583587646484,-8.284133911132812,12
39.07,39.38960647583008,-8.284123420715332,12
39.27,39.389625549316406,-8.284111976623535,12
39.67,39.389671325683594,-8.284090995788574,12
39.87,39.38969421386719,-8.284080505371094,12
40.07,39.38971710205078,-8.284067153930664,12
40.27,39.38973617553711,-8.284051895141602,12
40.67,39.3897819519043,-8.284018516540527,12
40.87,39.38980484008789,-8.283995628356934,12
41.07,39.38982391357422,-8.283971786499023,12
41.27,39.38984680175781,-8.28394603729248,12
41.67,39.38987731933594,-8.283892631530762,12
41.87,39.389892578125,-8.283864974975586,12
42.07,39.38990783691406,-8.283836364746094,12
42.27,39.389915466308594,-8.283808708190918,12
42.67,39.389930725097656,-8.283770561218262,12
42.87,39.38993835449219,-8.283764839172363,12
43.07,39.38995361328125,-8.283754348754883,12
43.27,39.38996887207031,-8.283747673034668,12
43.67,39.390018463134766,-8.283717155456543,12
43.87,39.390045166015625,-8.28369140625,12
44.07,39.390071868896484,-8.28366470336914,12
44.27,39.39009094238281,-8.283631324768066,12
44.67,39.39012145996094,-8.283562660217285,12
44.87,39.390132904052734,-8.28353500366211,12
45.07,39.390140533447266,-8.283506393432617,12
45.27,39.39015197753906,-8.283478736877441,12
45.67,39.39017105102539,-8.283439636230469,12
45.87,39.39018630981445,-8.283421516418457,12
46.07,39.39020538330078,-8.283403396606445,12
46.27,39.390228271484375,-8.2833833694458,12
46.67,39.39027404785156,-8.283324241638184,12
46.87,39.39029312133789,-8.283287048339844,12
47.07,39.39030838012695,-8.283252716064453,12
47.27,39.39031982421875,-8.28321647644043,12
47.67,39.39033889770508,-8.283141136169434,12
47.87,39.39034652709961,-8.283102035522461,12
48.07,39.39035415649414,-8.283064842224121,12
48.27,39.39036560058594,-8.283028602600098,12
48.67,39.390384674072266,-8.282960891723633,12
48.87,39.39039611816406,-8.282927513122559,12
49.07,39.39040756225586,-8.28289794921875,12
49.27,39.390419006347656,-8.282868385314941,12
49.67,39.39044189453125,-8.282814025878906,12
49.87,39.39045333862305,-8.282783508300781,12
50.07,39.390464782714844,-8.282754898071289,12
50.27,39.390472412109375,-8.28272819519043,12
50.67,39.3904914855957,-8.282681465148926,12
50.87,39.3905029296875,-8.282661437988281,12
51.07,39.39051818847656,-8.282642364501953,12
51.27,39.39052963256836,-8.282622337341309,12
