ts,voltage
-0.64,10.009
0.36,10.059
1.36,10.018
2.36,10.009
3.36,10.051
4.36,10.001
5.36,10.059
6.36,10.092
7.36,10.042
8.36,9.985
9.36,10.051
10.36,10.051
11.36,9.993
12.36,10.026
13.36,10.018
14.36,10.018
15.36,10.034
16.36,10.042
17.36,10.034
18.36,10.042
19.36,10.034
20.36,10.076
21.36,10.076
22.36,10.076
23.36,10.051
24.36,10.018
25.36,10.042
26.36,10.018
27.36,10.076
28.36,10.042
29.36,10.001
30.36,10.042
31.36,10.067
32.36,10.092
33.36,10.009
34.36,9.985
35.36,10.034
36.36,10.034
37.36,10.026
38.36,10.026
39.36,10.034
40.36,10.009
41.36,10.009
42.36,10.009
43.36,9.993
44.36,9.993
45.36,9.993
46.36,9.968
47.36,10.001
48.36,9.993
49.36,9.968
50.36,9.985
51.36,9.976
52.36,9.985
53.36,9.993
54.36,9.985
55.36,9.993
56.36,9.985
57.36,9.852
58.36,9.943
59.36,9.96
60.36,9.968
61.36,9.968
62.36,9.993
63.36,9.993
64.36,10.026
65.36,9.985
66.36,10.009
67.36,10.026
68.36,10.042
69.36,9.985
70.36,10.018
71.36,10.018
72.36,10.001
73.36,10.009
74.36,10.059
75.36,10.026
76.36,9.993
77.36,10.018
78.36,9.985
79.36,10.018
80.36,10.009
81.36,10.026
82.36,10.026
83.36,10.001
84.36,10.026
85.36,10.018
86.36,10.001
87.36,10.051
88.36,10.001
89.36,10.018
90.36,10.018
91.36,10.034
92.36,10.009
93.36,10.026
94.36,10.026
95.36,10.026
96.36,9.993
97.36,10.051
98.36,10.001
99.36,10.026
100.36,10.084
101.36,10.109
102.36,10.1
103.36,10.026
104.36,10.042
105.36,10.067
106.36,10.009
107.36,10.018
108.36,10.059
109.36,10.059
110.36,10.042
111.36,10.009
112.36,10.026
113.36,10.001
114.36,9.993
115.36,10.009
116.36,10.001
117.36,10.009
118.36,9.985
119.36,10.001
120.36,9.976
121.36,9.976
122.36,9.968
123.36,9.968
124.36,9.96
125.36,9.976
126.36,9.96
127.36,9.985
128.36,9.976
129.36,9.976
130.36,9.96
131.36,9.968
132.36,10.001
133.36,9.985
134.36,9.943
135.36,9.951
136.36,10.034
137.36,9.985
138.36,9.968
139.36,9.993
140.36,10.009
141.36,10.026
142.36,9.985
143.36,9.993
144.36,10.009
145.36,9.985
146.36,10.026
147.36,10.001
148.36,10.009
149.36,10.026
150.36,10.034
151.36,10.042
152.36,10.018
153.36,10.042
154.36,10.026
155.36,9.993
156.36,10.009
157.36,10.018
158.36,10.018
159.36,10.018
160.36,9.993
161.36,9.993
162.36,10.009
163.36,10.001
164.36,10.001
165.36,10.051
166.36,10.001
167.36,10.009
168.36,9.976
169.36,9.976
170.36,10.034
171.36,10.042
172.36,10.026
173.36,10.018
174.36,10.018
175.36,10.009
176.36,10.009
177.36,10.001
178.36,9.976
179.36,10.059
180.36,10.001
181.36,10.034
182.36,10.001
183.36,10.018
184.36,10.018
185.36,10.034
186.36,10.009
187.36,10.034
188.36,10.001
189.36,10.034
190.36,10.018
191.36,9.985
192.36,10.042
193.36,10.034
194.36,10.034
195.36,10.018
196.36,10.009
197.36,10.009
198.36,9.976
199.36,9.993
200.36,9.993
201.36,9.976
202.36,9.976
203.36,9.993
204.36,9.985
205.36,9.985
206.36,9.993
207.36,9.976
208.36,9.976
209.36,9.993
210.36,9.968
211.36,9.968
212.36,9.96
213.36,10.018
214.36,9.976
215.36,9.985
216.36,9.968
217.36,9.951
218.36,10.001
219.36,10.001
220.36,10.001
221.36,10.001
222.36,10.042
223.36,10.009
224.36,10.026
225.36,10.034
226.36,10.026
227.36,9.985
228.36,10.051
229.36,9.985
230.36,10.042
231.36,9.993
232.36,10.001
233.36,10.009
234.36,9.993
235.36,10.034
236.36,10.034
237.36,10.042
238.36,10.084
239.36,9.985
240.36,10.018
241.36,10.009
242.36,10.001
243.36,10.034
244.36,10.018
245.36,10.042
246.36,9.976
247.36,10.009
248.36,10.076
249.36,9.976
250.36,10.026
251.36,10.026
252.36,10.042
253.36,10.059
254.36,10.051
255.36,10.026
256.36,10.051
257.36,10.034
258.36,10.026
259.36,10.026
260.36,10.076
261.36,10.018
262.36,10.018
263.36,10.026
264.36,10.001
265.36,10.009
266.36,9.985
267.36,10.009
268.36,9.993
269.36,9.976
270.36,9.985
271.36,9.976
