ts,id,Ax,Ay,Az,Gx,Gy,Gz
77.075,IMU0,0.04052734375,0.451171875,0.34375,-36.06442577030813,183.4733893557423,65.89635854341736
77.085,IMU0,0.0380859375,0.47119140625,0.365234375,-28.991596638655462,177.94117647058823,62.675070028011206
77.095,IMU0,0.037109375,0.48583984375,0.38330078125,-21.1484593837535,171.9887955182073,59.87394957983194
77.105,IMU0,0.03369140625,0.4990234375,0.3974609375,-12.53501400560224,165.68627450980392,57.352941176470594
77.115,IMU0,0.0322265625,0.46533203125,0.38037109375,-3.5714285714285716,159.17366946778714,55.182072829131656
77.125,IMU0,0.0224609375,0.41796875,0.3564453125,5.112044817927171,152.87114845938376,53.50140056022409
77.135,IMU0,0.01611328125,0.400390625,0.3447265625,13.095238095238097,146.9187675070028,52.24089635854342
77.145,IMU0,0.01123046875,0.44384765625,0.37255859375,21.42857142857143,141.03641456582633,51.33053221288515
77.155,IMU0,0.00146484375,0.43994140625,0.36279296875,30.04201680672269,135.0140056022409,50.840336134453786
77.165,IMU0,-0.0078125,0.41796875,0.33056640625,38.37535014005602,129.34173669467788,50.840336134453786
77.175,IMU0,-0.0107421875,0.41650390625,0.31787109375,46.148459383753504,123.94957983193278,51.19047619047619
77.185,IMU0,-0.017578125,0.41748046875,0.29931640625,53.221288515406165,118.97759103641457,51.89075630252101
77.195,IMU0,-0.0263671875,0.4345703125,0.291015625,59.943977591036415,114.07563025210085,52.871148459383754
77.205,IMU0,-0.03662109375,0.4365234375,0.2763671875,66.31652661064426,109.2436974789916,54.20168067226891
77.215,IMU0,-0.03955078125,0.41650390625,0.25244140625,72.12885154061625,104.48179271708683,55.88235294117647
77.225,IMU0,-0.04443359375,0.408203125,0.23486328125,77.45098039215686,99.71988795518207,57.77310924369748
77.235,IMU0,-0.04833984375,0.40234375,0.2158203125,82.07282913165267,94.88795518207283,59.80392156862745
77.245,IMU0,-0.0537109375,0.408203125,0.20166015625,86.1344537815126,89.77591036414566,61.97478991596639
77.255,IMU0,-0.0546875,0.40576171875,0.1806640625,89.6358543417367,84.52380952380953,64.28571428571429
77.265,IMU0,-0.0517578125,0.39892578125,0.1611328125,92.50700280112045,78.99159663865547,66.66666666666667
77.275,IMU0,-0.04443359375,0.40185546875,0.140625,94.88795518207283,73.59943977591037,68.90756302521008
77.285,IMU0,-0.025390625,0.40966796875,0.10888671875,97.82913165266108,63.655462184873954,72.26890756302521
77.295,IMU0,-0.01708984375,0.41455078125,0.099609375,98.80952380952381,59.38375350140056,73.59943977591037
77.305,IMU0,-0.009765625,0.40673828125,0.08740234375,99.57983193277312,55.602240896358545,74.50980392156863
77.315,IMU0,-0.00341796875,0.39697265625,0.07421875,100.07002801120449,52.38095238095239,75.28011204481793
77.325,IMU0,0.0048828125,0.4248046875,0.06201171875,100.35014005602241,49.78991596638656,75.70028011204482
77.335,IMU0,0.0126953125,0.41796875,0.04345703125,100.21008403361346,47.82913165266107,75.98039215686275
77.345,IMU0,0.01953125,0.4052734375,0.0263671875,99.57983193277312,46.63865546218488,75.98039215686275
77.355,IMU0,0.02587890625,0.4169921875,0.009765625,98.52941176470588,46.148459383753504,75.77030812324931
77.365,IMU0,0.03369140625,0.4443359375,-0.0078125,97.12885154061625,46.28851540616247,75.35014005602241
