ts,voltage
398.4,9.869
399.4,9.894
400.4,9.902
401.4,9.902
402.4,9.894
403.4,9.869
404.4,9.91
405.4,9.852
406.4,9.918
407.4,9.869
408.4,9.852
409.4,9.836
410.4,9.877
411.4,9.902
412.4,9.877
413.4,9.885
414.4,9.877
415.4,9.852
416.4,9.861
417.4,9.877
418.4,9.927
419.4,9.869
420.4,9.91
421.4,9.877
422.4,9.885
423.4,9.902
424.4,9.927
425.4,9.861
426.4,9.844
427.4,9.844
428.4,9.877
429.4,9.902
430.4,9.877
431.4,9.877
432.4,9.894
433.4,9.885
434.4,9.877
435.4,9.902
436.4,9.885
437.4,9.927
438.4,9.894
439.4,9.877
440.4,9.91
441.4,9.943
442.4,9.861
443.4,9.918
444.4,9.91
445.4,9.902
446.4,9.852
447.4,9.852
448.4,9.844
449.4,9.894
450.4,9.877
451.4,9.902
452.4,9.918
453.4,9.91
454.4,9.877
455.4,9.927
456.4,9.836
457.4,9.927
458.4,9.894
459.4,9.918
460.4,9.902
461.4,9.844
462.4,9.918
463.4,9.852
464.4,9.852
465.4,9.902
466.4,9.861
467.4,9.852
468.4,9.902
469.4,9.885
470.4,9.869
471.4,9.894
472.4,9.869
473.4,9.885
474.4,9.91
475.4,9.935
476.4,9.902
477.4,9.885
478.4,9.918
479.4,9.885
480.4,10.001
481.4,9.918
482.4,9.918
483.4,9.885
484.4,9.885
485.4,9.894
486.4,9.869
487.4,9.885
488.4,9.869
489.4,9.861
490.4,9.869
491.4,9.869
492.4,9.852
493.4,9.869
494.4,9.861
495.4,9.877
496.4,9.852
497.4,9.844
498.4,9.852
499.4,9.861
500.4,9.844
501.4,9.836
502.4,9.836
503.4,9.852
504.4,9.844
505.4,9.852
506.4,9.861
507.4,9.844
508.4,9.861
509.4,9.836
510.4,9.836
511.4,9.852
512.4,9.827
513.4,9.836
514.4,9.861
515.4,9.827
516.4,9.861
517.4,9.844
518.4,9.827
519.4,9.827
520.4,9.844
521.4,9.827
522.4,9.844
523.4,9.861
524.4,9.827
525.4,9.827
526.4,9.852
527.4,9.819
528.4,9.836
529.4,9.819
530.4,9.861
531.4,9.836
532.4,9.852
533.4,9.827
534.4,9.844
535.4,9.861
536.4,9.861
537.4,9.827
538.4,9.827
539.4,9.836
540.4,9.852
541.4,9.836
542.4,9.836
543.4,9.827
544.4,9.852
545.4,9.844
546.4,9.844
547.4,9.836
548.4,9.819
549.4,9.827
550.4,9.852
551.4,9.836
552.4,9.827
553.4,9.827
554.4,9.827
555.4,9.778
556.4,9.794
557.4,9.786
