ts,id,Ax,Ay,Az,Gx,Gy,Gz
-0.755,IMU0,-0.0185546875,-0.4951171875,-0.0361328125,-0.5602240896358543,-1.8907563025210086,-0.5602240896358543
-0.745,IMU0,-0.02099609375,-0.498046875,-0.0380859375,-0.5602240896358543,-1.680672268907563,-0.5602240896358543
-0.735,IMU0,-0.02001953125,-0.49609375,-0.04248046875,-0.4901960784313726,-1.6106442577030813,-0.6302521008403361
-0.725,IMU0,-0.01708984375,-0.49609375,-0.0419921875,-0.4901960784313726,-1.680672268907563,-0.6302521008403361
-0.715,IMU0,-0.015625,-0.49560546875,-0.03515625,-0.4901960784313726,-1.8907563025210086,-0.5602240896358543
-0.705,IMU0,-0.01611328125,-0.49658203125,-0.03076171875,-0.4901960784313726,-1.9607843137254903,-0.6302521008403361
-0.695,IMU0,-0.015625,-0.498046875,-0.03369140625,-0.5602240896358543,-1.9607843137254903,-0.5602240896358543
-0.685,IMU0,-0.015625,-0.49560546875,-0.03662109375,-0.6302521008403361,-2.030812324929972,-0.5602240896358543
-0.675,IMU0,-0.02001953125,-0.49560546875,-0.0390625,-0.6302521008403361,-1.9607843137254903,-0.5602240896358543
-0.665,IMU0,-0.01806640625,-0.4951171875,-0.037109375,-0.5602240896358543,-2.030812324929972,-0.5602240896358543
-0.655,IMU0,-0.01953125,-0.49609375,-0.03466796875,-0.4901960784313726,-1.9607843137254903,-0.5602240896358543
-0.645,IMU0,-0.0166015625,-0.49658203125,-0.03271484375,-0.4901960784313726,-1.9607843137254903,-0.5602240896358543
-0.635,IMU0,-0.015625,-0.49560546875,-0.03515625,-0.5602240896358543,-1.9607843137254903,-0.5602240896358543
-0.625,IMU0,-0.017578125,-0.49560546875,-0.03955078125,-0.6302521008403361,-1.9607843137254903,-0.6302521008403361
-0.615,IMU0,-0.01953125,-0.4951171875,-0.044921875,-0.5602240896358543,-1.8207282913165266,-0.5602240896358543
-0.605,IMU0,-0.017578125,-0.49658203125,-0.03955078125,-0.4901960784313726,-1.7507002801120448,-0.5602240896358543
-0.595,IMU0,-0.017578125,-0.4951171875,-0.03271484375,-0.42016806722689076,-1.7507002801120448,-0.4901960784313726
-0.585,IMU0,-0.01806640625,-0.49560546875,-0.03076171875,-0.42016806722689076,-1.7507002801120448,-0.5602240896358543
-0.575,IMU0,-0.017578125,-0.49462890625,-0.0322265625,-0.42016806722689076,-1.6106442577030813,-0.4901960784313726
-0.565,IMU0,-0.01708984375,-0.4970703125,-0.0380859375,-0.5602240896358543,-1.5406162464985995,-0.5602240896358543
-0.555,IMU0,-0.0185546875,-0.49560546875,-0.0390625,-0.42016806722689076,-1.400560224089636,-0.4901960784313726
-0.545,IMU0,-0.01953125,-0.49462890625,-0.0380859375,-0.5602240896358543,-1.1204481792717087,-0.4901960784313726
-0.535,IMU0,-0.0185546875,-0.49658203125,-0.03076171875,-0.4901960784313726,-0.8403361344537815,-0.5602240896358543
-0.525,IMU0,-0.01708984375,-0.49609375,-0.02734375,-0.4901960784313726,-0.6302521008403361,-0.5602240896358543
-0.515,IMU0,-0.015625,-0.49609375,-0.03173828125,-0.6302521008403361,-0.6302521008403361,-0.5602240896358543
-0.505,IMU0,-0.017578125,-0.49365234375,-0.041015625,-0.6302521008403361,-0.6302521008403361,-0.5602240896358543
-0.495,IMU0,-0.01708984375,-0.49609375,-0.0400390625,-0.4901960784313726,-0.7703081232492998,-0.5602240896358543
-0.485,IMU0,-0.01611328125,-0.4951171875,-0.03515625,-0.5602240896358543,-0.700280112044818,-0.4901960784313726
-0.475,IMU0,-0.01611328125,-0.49658203125,-0.033203125,-0.4901960784313726,-0.7703081232492998,-0.4901960784313726
-0.465,IMU0,-0.0185546875,-0.49560546875,-0.03369140625,-0.6302521008403361,-0.700280112044818,-0.4901960784313726
-0.455,IMU0,-0.0205078125,-0.49658203125,-0.0361328125,-0.6302521008403361,-0.700280112044818,-0.4901960784313726
-0.445,IMU0,-0.0224609375,-0.4951171875,-0.037109375,-0.6302521008403361,-0.6302521008403361,-0.5602240896358543
-0.435,IMU0,-0.01806640625,-0.49609375,-0.03857421875,-0.6302521008403361,-0.4901960784313726,-0.6302521008403361
-0.425,IMU0,-0.0166015625,-0.494140625,-0.03271484375,-0.5602240896358543,-0.42016806722689076,-0.5602240896358543
-0.415,IMU0,-0.0185546875,-0.4951171875,-0.03173828125,-0.5602240896358543,-0.350140056022409,-0.5602240896358543
-0.405,IMU0,-0.01953125,-0.49609375,-0.0341796875,-0.5602240896358543,-0.350140056022409,-0.5602240896358543
-0.395,IMU0,-0.0205078125,-0.49462890625,-0.0380859375,-0.5602240896358543,-0.21008403361344538,-0.4901960784313726
-0.385,IMU0,-0.02197265625,-0.49560546875,-0.04052734375,-0.5602240896358543,0.0700280112044818,-0.4901960784313726
-0.375,IMU0,-0.0205078125,-0.49658203125,-0.0390625,-0.5602240896358543,0.0700280112044818,-0.5602240896358543
-0.365,IMU0,-0.01953125,-0.4970703125,-0.03857421875,-0.42016806722689076,0.0,-0.4901960784313726
-0.355,IMU0,-0.017578125,-0.49658203125,-0.03466796875,-0.42016806722689076,0.0700280112044818,-0.4901960784313726
-0.345,IMU0,-0.0166015625,-0.49560546875,-0.03173828125,-0.4901960784313726,0.0700280112044818,-0.6302521008403361
-0.335,IMU0,-0.01806640625,-0.49560546875,-0.03759765625,-0.5602240896358543,0.0,-0.5602240896358543
-0.325,IMU0,-0.01806640625,-0.4970703125,-0.0390625,-0.4901960784313726,-0.1400560224089636,-0.5602240896358543
-0.315,IMU0,-0.02001953125,-0.49560546875,-0.03662109375,-0.5602240896358543,-0.2801120448179272,-0.4901960784313726
-0.305,IMU0,-0.02197265625,-0.49462890625,-0.03564453125,-0.4901960784313726,-0.350140056022409,-0.5602240896358543
