ts,filtered_altitude_AGL,filtered_acceleration
-0.75,0.6493911743164062,-0.03769397735595703
-0.74,0.6493911743164062,-0.03769397735595703
-0.73,0.39884185791015625,-0.028270721435546875
-0.72,0.6493911743164062,-0.028270721435546875
-0.71,0.4783477783203125,-0.028270721435546875
-0.7,0.30861663818359375,-0.028270721435546875
-0.69,0.30861663818359375,-0.028270721435546875
-0.68,0.476776123046875,-0.028270721435546875
-0.67,0.476776123046875,-0.028270721435546875
-0.66,0.476776123046875,-0.028270721435546875
-0.65,0.476776123046875,-0.028270721435546875
-0.64,0.476776123046875,-0.03769397735595703
-0.63,0.39282989501953125,-0.03769397735595703
-0.62,0.30861663818359375,-0.03769397735595703
-0.61,-0.44156646728515625,-0.03769397735595703
-0.6,-0.44156646728515625,-0.03769397735595703
-0.59,-0.44156646728515625,-0.03769397735595703
-0.58,-0.4466400146484375,-0.03769397735595703
-0.57,-0.44156646728515625,-0.03769397735595703
-0.56,0.06285858154296875,-0.03769397735595703
-0.55,0.06285858154296875,-0.047118186950683594
-0.54,0.06285858154296875,-0.03769397735595703
-0.53,0.06285858154296875,-0.03769397735595703
-0.52,0.06285858154296875,-0.03769397735595703
-0.51,0.06285858154296875,-0.03769397735595703
-0.5,-0.18311309814453125,-0.047118186950683594
-0.49,-0.1009979248046875,-0.047118186950683594
-0.48,-0.18311309814453125,-0.03769397735595703
-0.47,-0.18311309814453125,-0.047118186950683594
-0.46,-0.436676025390625,-0.03769397735595703
-0.45,-0.18311309814453125,-0.03769397735595703
-0.44,-0.18311309814453125,-0.047118186950683594
-0.43,-0.1009979248046875,-0.03769397735595703
-0.42,-0.18311309814453125,-0.028270721435546875
-0.41,-0.604461669921875,-0.028270721435546875
-0.4,-0.604461669921875,-0.03769397735595703
-0.39,-0.52081298828125,-0.047118186950683594
-0.38,-0.52081298828125,-0.047118186950683594
-0.37,-0.52081298828125,-0.047118186950683594
-0.36,-0.6063995361328125,-0.047118186950683594
-0.35,-0.6063995361328125,-0.028270721435546875
-0.34,-1.0944976806640625,-0.028270721435546875
-0.33,-0.9261703491210938,-0.05654144287109375
-0.32,-0.9261703491210938,-0.047118186950683594
-0.31,-0.9261703491210938,-0.03769397735595703
-0.3,-0.9261703491210938,-0.028270721435546875
-0.29,-0.9261703491210938,-0.028270721435546875
-0.28,-0.16748809814453125,-0.028270721435546875
-0.27,0.082855224609375,-0.028270721435546875
-0.26,0.082855224609375,-0.028270721435546875
-0.25,0.25212860107421875,-0.028270721435546875
-0.24,0.25212860107421875,-0.009423255920410156
-0.23,0.25212860107421875,-0.009423255920410156
-0.22,0.082855224609375,0.0
-0.21,-0.755828857421875,0.009423255920410156
-0.2,-0.755828857421875,0.03769397735595703
-0.19,-0.7603912353515625,0.05654144287109375
-0.18,-0.7603912353515625,0.09423637390136719
-0.17,-0.8386993408203125,0.4617576599121094
-0.16,-0.8386993408203125,8.047781944274902
-0.15,-0.8386993408203125,13.824467658996582
-0.14,-0.8386993408203125,15.897665977478027
-0.13,-0.913482666015625,16.07671356201172
-0.12,-0.913482666015625,17.79181671142578
-0.11,-0.913482666015625,18.555130004882812
-0.1,-0.15772247314453125,19.02631378173828
-0.09,-0.913482666015625,19.327869415283203
-0.08,0.43912506103515625,20.986427307128906
-0.07,-0.913482666015625,22.663833618164062
-0.06,-0.913482666015625,24.397781372070312
-0.05,-1.0537490844726562,25.43437957763672
-0.04,-1.4878768920898438,26.8385009765625
-0.03,-1.4878768920898438,28.600723266601562
-0.02,-2.7501907348632812,29.967147827148438
-0.01,-2.7501907348632812,30.99432373046875
0.0,-1.4878768920898438,31.531471252441406
0.01,-2.96539306640625,35.046485900878906
0.02,-2.96539306640625,36.35636901855469
0.03,-1.0537490844726562,38.0055046081543
0.04,0.6492919921875,39.475589752197266
0.05,0.6492919921875,40.05985641479492
0.06,0.6492919921875,40.98337173461914
0.07,1.7405776977539062,41.36031723022461
0.08,1.7405776977539062,41.897464752197266
0.09,0.6492919921875,42.00112533569336
0.1,1.7405776977539062,42.16132736206055
0.11,1.8251266479492188,42.30268096923828
0.12,1.8251266479492188,42.92464065551758
0.13,0.6492919921875,44.743404388427734
0.14,0.6492919921875,46.053287506103516
0.15,-0.6956405639648438,46.47734832763672
0.16,-0.6956405639648438,46.76005935668945
0.17,-0.6956405639648438,47.79665756225586
0.18,0.480194091796875,49.54945373535156
0.19,-1.2848739624023438,51.726314544677734
0.2,-1.2848739624023438,52.97023010253906
0.21,0.480194091796875,54.84553909301758
0.22,0.480194091796875,56.48524856567383
0.23,1.069427490234375,58.20034408569336
0.24,2.16070556640625,58.51132583618164
0.25,2.16070556640625,59.302913665771484
0.26,2.16070556640625,60.037960052490234
0.27,2.16070556640625,61.07455062866211
0.28,2.16070556640625,61.97922897338867
0.29,2.07879638671875,63.364498138427734
0.3,2.07879638671875,63.505855560302734
0.31,2.7499465942382812,65.19268798828125
0.32,2.7499465942382812,66.44602966308594
0.33,2.7499465942382812,66.61565399169922
0.34,3.0855178833007812,68.0103530883789
0.35,3.3391799926757812,68.26478576660156
0.36,3.3391799926757812,68.99040985107422
0.37,3.3391799926757812,70.18721008300781
0.38,3.5082931518554688,70.80917358398438
0.39,3.5082931518554688,71.02591705322266
0.4,3.5082931518554688,71.4876708984375
0.41,4.599571228027344,72.27925872802734
0.42,5.188804626464844,73.24989318847656
0.43,5.357917785644531,73.5702896118164
0.44,5.188804626464844,73.9660873413086
0.45,5.188804626464844,74.81421661376953
0.46,5.357917785644531,74.861328125
0.47,5.778045654296875,75.16288757324219
0.48,6.029060363769531,75.56809997558594
0.49,6.113616943359375,75.69061279296875
0.5,6.367279052734375,77.10415649414062
0.51,6.53375244140625,77.58476257324219
0.52,7.374000549316406,78.30096435546875
0.53,7.543113708496094,78.4234619140625
0.54,8.04779052734375,79.23389434814453
0.55,8.216903686523438,80.10086822509766
0.56,8.216903686523438,80.10086822509766
0.57,8.216903686523438,80.12913513183594
0.58,8.216903686523438,80.22337341308594
0.59,8.04779052734375,80.29876708984375
0.6,7.543113708496094,80.8359146118164
0.61,7.543113708496094,80.8359146118164
0.62,7.543113708496094,82.126953125
0.63,7.543113708496094,82.126953125
0.64,7.45855712890625,82.33427429199219
0.65,7.543113708496094,82.74890899658203
0.66,7.543113708496094,83.47453308105469
0.67,7.6276702880859375,83.70069885253906
0.68,7.6276702880859375,84.407470703125
0.69,7.6276702880859375,84.24726867675781
0.7,7.6276702880859375,84.24726867675781
0.71,8.721588134765625,84.24726867675781
0.72,8.888053894042969,84.3509292602539
0.73,8.972610473632812,84.407470703125
0.74,9.141716003417969,84.407470703125
0.75,9.141716003417969,84.407470703125
0.76,9.815505981445312,84.407470703125
0.77,9.897415161132812,84.42632293701172
0.78,9.897415161132812,84.52055358886719
0.79,10.0665283203125,84.61479187011719
0.8,10.402099609375,84.81268310546875
0.81,11.160446166992188,84.81268310546875
0.82,11.665130615234375,84.81268310546875
0.83,11.834236145019531,85.28386688232422
0.84,11.918792724609375,85.29328918457031
