ts,filtered_altitude_AGL,filtered_acceleration
-0.75,-0.02648162841796875,-0.2171611785888672
-0.74,0.14234161376953125,-0.22660255432128906
-0.73,0.142059326171875,-0.2171611785888672
-0.72,-0.02648162841796875,-0.2171611785888672
-0.71,-0.02648162841796875,-0.2171611785888672
-0.7,0.142059326171875,-0.2171611785888672
-0.69,0.142059326171875,-0.2171611785888672
-0.68,0.142059326171875,-0.2171611785888672
-0.67,0.142059326171875,-0.2171611785888672
-0.66,0.14234161376953125,-0.2171611785888672
-0.65,0.5480499267578125,-0.2171611785888672
-0.64,0.5480499267578125,-0.2171611785888672
-0.63,0.5480499267578125,-0.2171611785888672
-0.62,0.5480499267578125,-0.22660255432128906
-0.61,0.5480499267578125,-0.22660255432128906
-0.6,0.8759689331054688,-0.22660255432128906
-0.59,0.623687744140625,-0.22660255432128906
-0.58,0.5480499267578125,-0.22660255432128906
-0.57,0.5480499267578125,-0.22660255432128906
-0.56,0.4525299072265625,-0.22660255432128906
-0.55,0.623687744140625,-0.22660255432128906
-0.54,0.70709228515625,-0.22660255432128906
-0.53,0.70709228515625,-0.22660255432128906
-0.52,0.623687744140625,-0.22660255432128906
-0.51,0.4525299072265625,-0.22660255432128906
-0.5,0.4525299072265625,-0.22660255432128906
-0.49,0.4525299072265625,-0.22660255432128906
-0.48,0.19167327880859375,-0.2171611785888672
-0.47,0.19153594970703125,-0.2171611785888672
-0.46,0.19153594970703125,-0.2171611785888672
-0.45,0.19153594970703125,-0.2171611785888672
-0.44,0.19153594970703125,-0.2171611785888672
-0.43,0.19167327880859375,-0.2171611785888672
-0.42,0.19167327880859375,-0.2171611785888672
-0.41,0.1057586669921875,-0.22660255432128906
-0.4,0.19167327880859375,-0.22660255432128906
-0.39,0.1057586669921875,-0.22660255432128906
-0.38,0.2729339599609375,-0.22660255432128906
-0.37,0.1057586669921875,-0.22660255432128906
-0.36,0.1057586669921875,-0.22660255432128906
-0.35,-0.06296539306640625,-0.22660255432128906
-0.34,-0.064727783203125,-0.2171611785888672
-0.33,-0.064727783203125,-0.22660255432128906
-0.32,-0.064727783203125,-0.22660255432128906
-0.31,-0.31394195556640625,-0.2171611785888672
-0.3,-0.31394195556640625,-0.22660255432128906
-0.29,-0.31394195556640625,-0.22660255432128906
-0.28,-0.31394195556640625,-0.2077188491821289
-0.27,-0.5662307739257812,-0.2077188491821289
-0.26,-0.39583587646484375,-0.22660255432128906
-0.25,-0.39583587646484375,-0.22660255432128906
-0.24,-0.14540863037109375,-0.22660255432128906
-0.23,-0.14540863037109375,-0.22660255432128906
-0.22,-0.14540863037109375,-0.22660255432128906
-0.21,-0.14540863037109375,-0.2077188491821289
-0.2,-0.14540863037109375,-0.2077188491821289
-0.19,0.44354248046875,-0.1321849822998047
-0.18,0.6960906982421875,-0.09441757202148438
-0.17,1.1962738037109375,-0.07553386688232422
-0.16,1.9480743408203125,1.095245361328125
-0.15,1.9543685913085938,2.407651901245117
-0.14,6.142333984375,8.610896110534668
-0.13,7.221794128417969,12.821925163269043
-0.12,7.221794128417969,15.380646705627441
-0.11,7.221794128417969,18.430335998535156
-0.1,7.221794128417969,21.159008026123047
-0.09,7.221794128417969,22.669692993164062
-0.08,6.02459716796875,23.689403533935547
-0.07,5.917655944824219,24.152050018310547
-0.06,5.917655944824219,24.62413787841797
-0.05,5.917655944824219,25.332271575927734
-0.04,5.917655944824219,26.08761215209961
-0.03,6.02459716796875,27.078998565673828
-0.02,6.648643493652344,28.07982635498047
-0.01,6.997550964355469,29.61883544921875
0.0,7.139015197753906,31.044544219970703
0.01,7.3614654541015625,31.752674102783203
0.02,8.216468811035156,34.83069610595703
0.03,10.790718078613281,35.822078704833984
0.04,10.790718078613281,37.49327087402344
0.05,10.790718078613281,40.089759826660156
0.06,10.790718078613281,42.2330436706543
0.07,10.790718078613281,43.77205276489258
0.08,8.299530029296875,44.470741271972656
0.09,6.111686706542969,44.470741271972656
0.1,3.5856246948242188,44.470741271972656
